 Sale Date , Address , City , Zip 
11/12/2025,2811 VILLAGE BLVD 404,WEST PALM BEACH,33409
11/12/2025,915 SW 3RD ST,BOYNTON BEACH,33435
11/12/2025,5619 KINGSMILL CT,LAKE WORTH,33463
11/12/2025,22171 SW 62ND AVE,BOCA RATON,33428
11/12/2025,1026 10TH LN,GREENACRES,33463
11/12/2025,5460 N OCEAN DR 1D,RIVIERA BEACH,33404
11/12/2025,1500 PRESIDENTIAL WAY 605,WEST PALM BEACH,33401
11/12/2025,835 SALEM LN,LAKE WORTH,33467
11/12/2025,2501 DEL AIRE BLVD C,DELRAY BEACH,33445
11/12/2025,16318 SEA TURTLE PL,WESTLAKE,33470
11/12/2025,325 MANSFIELD H,BOCA RATON,33434
11/12/2025,178 WOODLAND RD,PALM SPRINGS,33461
11/12/2025,6018 ADRIATIC WAY,GREENACRES,33413
11/12/2025,1713 N CONGRESS AVE,WEST PALM BEACH,33401
11/12/2025,1739 EMBASSY DRIVE # 201,WEST PALM BEACH,33401
11/12/2025,6357 SUMMER SKY LN,GREENACRES,33463
11/12/2025,4110 S SHADY LN,BOYNTON BEACH,33436
11/12/2025,6524 CHASEWOOD DR H,JUPITER,33458
11/12/2025,2313 SW CYPRESS RD,WEST PALM BEACH,33409
11/13/2025,501 SANDPIPER WAY,BOCA RATON,33431
11/13/2025,12181 EVERGLADES STREET,CANAL POINT,33438
11/13/2025,10780 WATERBERRY DR,BOCA RATON,33498
11/17/2025,,,
11/17/2025,1513 39TH ST,WEST PALM BEACH,33407
11/17/2025,13706 41ST LN N,WEST PALM BEACH,33411
11/17/2025,10272 ALLEGRO DR,BOCA RATON,33428
11/17/2025,4006 SEQUOIA PL,RIVIERA BEACH,33410
11/17/2025,5600 N FLAGLER DR 2803,WEST PALM BEACH,33407
11/17/2025,2985 CROSLEY DR W J,WEST PALM BEACH,33415
11/17/2025,4089 COONTIE CT,LAKE WORTH,33462
11/18/2025,5287 TIFFANY ANNE CIR,WEST PALM BEACH,33417
11/18/2025,2800 GEORGIA AVE B9,WEST PALM BEACH,33405
11/18/2025,4102 ARTESA DR,BOYNTON BEACH,33436
11/19/2025,7190 MONTEREAL PATH,LAKE WORTH,33463
11/19/2025,7832 ROCKFORD RD,BOYNTON BEACH,33472
11/19/2025,13414 BARWICK ROAD,DELRAY BEACH,33445
11/19/2025,19739 WHEELBARROW BND,LOXAHATCHEE,33470
11/19/2025,200 N WARE DR,WEST PALM BEACH,33409
11/19/2025,4118 41ST WAY,WEST PALM BEACH,33407-6711
11/20/2025,6989 CALLE DEL PAZ W,BOCA RATON,33433
11/20/2025,1007 CENTER STONE LN,RIVIERA BEACH,33404
11/20/2025,1532 STONEHAVEN ESTATES DR,WEST PALM BEACH,33411
11/20/2025,1599 NEWHAVEN POINT LN,WEST PALM BEACH,33411
11/20/2025,4399 ASTER DR,LAKE WORTH,33461
11/24/2025,8528 SERENA CREEK AVE,BOYNTON BEACH,33473
11/24/2025,7536 FENWICK PL,BOCA RATON,33496
11/24/2025,4719 PINEWOOD AVE,WEST PALM BEACH,33407
11/24/2025,12418 CRYSTAL POINTE DR 202,BOYNTON BEACH,33437
11/24/2025,158 ALCAZAR ST,ROYAL PALM BEACH,33411
11/24/2025,6815 MONMOUTH RD,WEST PALM BEACH,33413
11/24/2025,8241 BELLWORT PL,BOYNTON BEACH,33472
11/24/2025,4280 HAZEL AVE ,PALM BEACH GARDENS,33410
11/24/2025,7270 SPINNAKER BAY DR,LAKE WORTH,33467
11/24/2025,474 ENFIELD ST,BOCA RATON,33487
11/24/2025,219 N L ST 100,LAKE WORTH,33460
11/24/2025,12373 EQUINE LN,WELLINGTON,33414
11/24/2025,4005 BROOK CIR E,WEST PALM BEACH,33417
11/25/2025,7481 CAMPO FLORIDO,BOCA RATON,33433
11/25/2025,8370 WHISPERING OAK WAY,WEST PALM BEACH,33411
11/25/2025,950 EGRET CIR 5507,DELRAY BEACH,33444
11/25/2025,302 LAKEVIEW EAST DR W,ROYAL PALM BEACH,33411
12/1/2025,1704 ANNANDALE CIR,ROYAL PALM BEACH,33411
12/1/2025,3021 LAUREL RIDGE CIR,RIVIERA BEACH,33404
12/1/2025,6102 WOODLAKE BLVD,GREENACRES,33463
12/1/2025,1132 KEYSTONE DR N C,JUPITER,33458
12/1/2025,179 LAS BRISAS CIR,HYPOLUXO,33462
12/1/2025,7665 TRENTON DR,LAKE WORTH,33467
12/1/2025,6154 REYNOLDS ST,WEST PALM BEACH,33411
12/1/2025,3852 JONATHANS WAY,BOYNTON BEACH,33436
12/1/2025,1 IRONWOOD WAY N,PALM BEACH GARDENS,33418
12/1/2025,12482 WESTHAMPTON CIR,WELLINGTON,33414
